где,2
100%,1
тебямокрого,1
места,1
останется,1
какой,1
полете,1
ещесердце,1
разорвется,1
третий,1
этаж,1
глазаху,1
изумленных,1
учеников,1
кстати,1
никакой,1
гарантиичто,1
свернешь,1
шею,1
Чистая,1
случайностькак,1
случай,1
вчера,2
обещал,1
впадатьв,1
самоубийцы,1
Что-то,1
поменялось-,1
вибрирует,1
сотовый,1
телефон,1
закрывай,1
делоиначе,1
закрою,1
Прости,1
Здрасте,4
Откуда,1
такая,1
Из,1
морга,1
отдаленный,1
шум,1
строительных,1
работ,1
общем,1
теле,1
покойнойобнаружены,1
следы,1
избиения,1
Сломанное,1
ребро,1
зажившая,1
гематома,1
Срок-,1
Около,1
месяца,1
точнее,1
скажу,1
спортивнаякакая-то,1
травма,1
Авария,1
боксом,1
занималась,1
Ух,1
Неужели,1
110-яДоведение,1
самоубийства,1
Госпожа,1
государственныйсоветник,1
юстиции,1
третьего,1
класса,1
разрешения,1
продолжить,1
следствие,1
честь,1
сегодня,3
великолепны,1
две,1
недели,1
тему,1
моей,1
неотразимости,1
Маши,1
концерт,1
отчетныйв,1
консерватории,1
кот,1
нассал,1
уж,1
извини,1
кедах,1
Извинил-,1
вкусы,1
поверитьчто,1
встречались,1
злюкой,1
вечно,1
Почти,1
закончили,1
записочка,1
предсмертная,1
Не-а,1
Жаль,1
помнюкак,1
им,2
хвасталась,1
Ребята,2
устроили,1
ейдень,1
рождения,2
Представляете,1
поддержать,2
вродев,1
июле,1
день,2
том-то,1
Понимаете,2
Они,1
решили,1
праздник,1
Придумали,1
специальную,1
вечеринку,1
Родители,1
Кристины,1
Суворовой,1
разрешилииспользовать,1
загородный,1
дом,1
сделали,1
капустник,1
Разучивали,1
английском,1
номераСами,1
переодевались,1
счастья,1
ей,1
ужасно,1
завидовали,1
кошмар,2
Миши,1
фото,2
Подпись,1
действительно,1
по-видимомуон,1
сам,1
фотографировал,1
абсолютно,2
уникальный,1
мальчик,2
Во-первых,1
точнокак,1
родном,1
Во-вторых,1
учится,1
блестяще,1
Легко,1
схватываетНе,1
боится,1
дискутировать,1
педагогами,1
сформировавшийся,1
самостоятельный,1
человек,1
Знаете,1
мужичок,1
Счастье,1
учителя,1
Правда,1
увереначто,1
Анастасии,1
Николаевны,1
классного,1
руководителя,1
подарком,1
звонит,1
школьный,1
Валентина,1
Леонидовна,1
сколько,1
повторять,1
Закрывайтевы,1
Опасно,1
дети,1
бегают,1
урок,2
идет,1
Никто,1
бегаетА,1
окнам,1
высохнуть,1
Можешь,1
проводить,1
домаесли,1
Извини,1
меняна,1
другие,1
планы,1
Засчитано,1
Чем,1
меньше,1
женщинумы,1
любим,1
Тем,2
больше,1
нравимся,1
ейЯ,1
продолжение,1
легче-,1
Пушкина,1
«тем,1
легче»,1
нравлюсь-,1
Добрый,1
Идем,1
НиколаевнаМеня,1
зовут,1
новый,1
Примите,1
пожалуйстамои,1
соболезнования,1
горе,1
ребятамикак-то,1
хотели,1
молча,1
посидеть,1
или,1
поговорить,1
Простите,1
наверноеглупости,1
несу,1
проходите,1
свистит,2
свисток-,2
Раз,4
два,4
три,4
четыре,4
Переходим,1
легкий,1
бег,1
Легкий,1
Господи,1
Столько,1
лет,1
прошлои,1
изменилось,1
почему,1
Программы,1
новые,1
вообще-то,1
большого,1
спорта,1
Тренером,1
переквалифицировался,1
рассказывайте,1
шел,1
отпросилисьМальчики,1
программе,1
прыжки,1
через,1
козла,1
Вошла,1
